story	text	retweet_count	created_at	hashtags	media	favorite_count	id	user_favourites_count	user_followers_count	user_friends_count	user_listed_count	user_location	user_name	user_screen_name.1	user_statuses_count
	เหี้ยมาก ที่สื่อเกาหลีตอนนี้เต็มไปด้วยข่าวเดทดารา ก็เพื่อจะกลบข่าว sexual harassment ที่พวกนักแสดง ผกก ชื่อใหญ่ๆโดนกันอยู่ เพราะกระแส #metoo ในเกาเขาตื่นตัวกันจนสาวไส้ไปถึงพวกผู้มีอิทธิพลไง มีเงินก็รีบสั่งปิดพื้นที่สื่อกันใหญ่ เลวมาก	37500	2018-03-09 04:54:02+00:00	metoo		2848	971972353960828928	4536	7873	107	19	fangtopia	fangj 👊🏼👻	dafaulFrank	224035
	@HunterD15's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	19511	2018-04-08 15:52:49+00:00			0	983009780594688001	59950	1067	160	6			HunterD15	82954
	"I’m loving the hashtag #HimToo. It appears to be a movement built of men who have had their lives and families destroyed by false allegations and a lack of due process. 

Radical feminism has become problematic and needs to be addressed. 

Dr. Luke, Brett Kavanaugh...

 #himtoo"	9176	2018-09-26 21:44:47+00:00	HimToo himtoo		28964	1045066680160976896	18969	2605260	22	5954	New York, USA	Candace Owens	RealCandaceO	4899
	Mery del Cerro, a corazón abierto, contó la experiencia de abuso sexual que vivió cuando tenía 11 años. #NoEsNo #MiraComoNosPonemos #MeToo @mery_delcerro https://t.co/Q5QLvM3iI2	8214	2018-12-14 02:05:42+00:00	NoEsNo MiraComoNosPonemos MeToo	https://twitter.com/eltreceoficial/status/1073398594944651264/video/1	29015	1073398594944651264	1759	4269920	813	2620	Argentina	eltrece	eltreceoficial	162058
	You struck out with a lie. Shut up, and stop embarrassing yourself and America. You’re an abomination. #MeTooHucksters https://t.co/xmvBdnA1eQ	7645	2018-10-09 04:07:04+00:00	MeTooHucksters		27403	1049511537780711425	13558	2419636	4414	8477		James Woods	RealJamesWoods	35019
	Just reported @Rosie for targeted harassment, mainly to see if Twitter does indeed have a double standard. Everyone knows if Rosie were conservative, Twitter would suspend her in a hot second. So, Twitter, put your money where your mouth is. #MeToo	7468	2017-12-22 15:00:00+00:00	MeToo		29881	944220986525618176	1	3386101	269	11649		Ben Shapiro	benshapiro	164241
	"Here’s your Democrat front runner after tonight

Where are the #MeToo activists rallying against him for repeatedly fondling underaged girls?

All eyes are on Biden now

Will the media finally ask him about this?

RT so they can’t ignore!

 https://t.co/oSJHBqIzkP"	6943	2020-03-04 03:40:13+00:00	MeToo	https://twitter.com/RAMRANTS/status/930069343412482049/video/1	11012	1235047369923629056	29654	1719832	201047	5169	Phoenix, AZ	Charlie Kirk	charliekirk11	49655
	@CodyMit83276452's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	6601	2018-10-20 03:30:20+00:00			0	1053488560014159872	2100	53	214	0			CodyMit83276452	2477
	"The war on police = #BLM
The war on ICE = #AbolishICE
The war on men = #MeToo

What other movements will the left launch and weaponize so that they can implement mob rule? 

The Democrats will continue to fund anarchy in an effort to regain D.C’s oligarchy, which Trump disrupted."	5730	2018-09-17 16:23:53+00:00	BLM AbolishICE MeToo		14962	1041724430228103171	18969	2605298	22	5955	New York, USA	Candace Owens	RealCandaceO	4899
	@jsmill91's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.	4513	2018-08-20 09:29:32+00:00			0	1031473298775793665	81	8	58	1			jsmill91	563
